month,hour,pred_angle,formula_angle
1,0,180,90.0
1,1,180,90.0
1,2,180,90.0
1,3,180,90.0
1,4,169,90.0
1,5,152,90.0
1,6,136,90.0
1,7,55,13.360300000000024
1,8,57,28.23730000000002
1,9,62,43.114300000000014
1,10,69,57.991300000000024
1,11,78,72.86830000000003
1,12,92,90.0
1,13,106,107.1312
1,14,120,122.00820000000002
1,15,134,136.8852
1,16,147,151.7622
1,17,160,166.63920000000002
1,18,90,90.0
1,19,86,90.0
1,20,79,90.0
1,21,69,90.0
1,22,57,90.0
1,23,43,90.0
2,0,180,90.0
2,1,180,90.0
2,2,180,90.0
2,3,180,90.0
2,4,169,90.0
2,5,152,90.0
2,6,136,90.0
2,7,56,13.954700000000003
2,8,58,28.849100000000007
2,9,62,43.74350000000001
2,10,69,58.6379
2,11,79,73.53229999999999
2,12,92,90.0
2,13,106,106.46799999999999
2,14,120,121.36239999999998
2,15,133,136.2568
2,16,147,151.1512
2,17,159,166.04559999999998
2,18,90,90.0
2,19,86,90.0
2,20,79,90.0
2,21,69,90.0
2,22,57,90.0
2,23,43,90.0
3,0,180,90.0
3,1,180,90.0
3,2,180,90.0
3,3,180,90.0
3,4,169,90.0
3,5,152,90.0
3,6,136,90.0
3,7,56,14.739199999999997
3,8,58,29.64399999999999
3,9,63,44.5488
3,10,70,59.453599999999994
3,11,80,74.35839999999999
3,12,92,90.0
3,13,105,105.64049999999997
3,14,119,120.5453
3,15,133,135.4501
3,16,146,150.3549
3,17,159,165.25969999999998
3,18,90,90.0
3,19,86,90.0
3,20,79,90.0
3,21,69,90.0
3,22,57,90.0
3,23,43,90.0
4,0,180,90.0
4,1,180,90.0
4,2,180,90.0
4,3,180,90.0
4,4,169,90.0
4,5,152,90.0
4,6,58,0.6631
4,7,57,15.562899999999999
4,8,59,30.462699999999998
4,9,64,45.36250000000001
4,10,71,60.26230000000001
4,11,80,75.16210000000001
4,12,92,90.0
4,13,104,104.83820000000003
4,14,118,119.73800000000003
4,15,132,134.63780000000003
4,16,145,149.53760000000003
4,17,158,164.43740000000003
4,18,169,179.33720000000005
4,19,86,90.0
4,20,79,90.0
4,21,69,90.0
4,22,57,90.0
4,23,43,90.0
5,0,180,90.0
5,1,180,90.0
5,2,180,90.0
5,3,180,90.0
5,4,169,90.0
5,5,152,90.0
5,6,58,1.354600000000005
5,7,58,16.2372
5,8,60,31.119799999999998
5,9,64,46.002399999999994
5,10,71,60.88499999999999
5,11,81,75.76759999999999
5,12,92,90.0
5,13,104,104.2313
5,14,118,119.1139
5,15,131,133.9965
5,16,145,148.8791
5,17,157,163.7617
5,18,168,178.6443
5,19,86,90.0
5,20,79,90.0
5,21,69,90.0
5,22,57,90.0
5,23,43,90.0
6,0,180,90.0
6,1,180,90.0
6,2,180,90.0
6,3,180,90.0
6,4,169,90.0
6,5,152,90.0
6,6,58,1.6991999999999905
6,7,58,16.56919999999998
6,8,60,31.439199999999985
6,9,65,46.309199999999976
6,10,72,61.17919999999998
6,11,81,76.04919999999998
6,12,92,90.0
6,13,104,103.95179999999999
6,14,117,118.82179999999997
6,15,131,133.69179999999997
6,16,145,148.56179999999998
6,17,157,163.43179999999998
6,18,168,178.30179999999996
6,19,86,90.0
6,20,79,90.0
6,21,69,90.0
6,22,57,90.0
6,23,43,90.0
7,0,180,90.0
7,1,180,90.0
7,2,180,90.0
7,3,180,90.0
7,4,169,90.0
7,5,152,90.0
7,6,58,1.537300000000016
7,7,58,16.413600000000017
7,8,60,31.289900000000017
7,9,64,46.16620000000003
7,10,72,61.04250000000002
7,11,81,75.9188
7,12,92,90.0
7,13,104,104.08210000000003
7,14,117,118.95840000000001
7,15,131,133.8347
7,16,145,148.711
7,17,157,163.58730000000003
7,18,168,178.46360000000004
7,19,86,90.0
7,20,79,90.0
7,21,69,90.0
7,22,57,90.0
7,23,43,90.0
8,0,180,90.0
8,1,180,90.0
8,2,180,90.0
8,3,180,90.0
8,4,169,90.0
8,5,152,90.0
8,6,58,0.9381000000000057
8,7,57,15.832400000000007
8,8,59,30.726700000000008
8,9,64,45.62100000000001
8,10,71,60.515299999999996
8,11,81,75.40960000000001
8,12,92,90.0
8,13,104,104.59
8,14,118,119.48429999999999
8,15,132,134.3786
8,16,145,149.2729
8,17,158,164.16719999999998
8,18,168,179.0615
8,19,86,90.0
8,20,79,90.0
8,21,69,90.0
8,22,57,90.0
8,23,43,90.0
9,0,180,90.0
9,1,180,90.0
9,2,180,90.0
9,3,180,90.0
9,4,169,90.0
9,5,152,90.0
9,6,57,0.1378999999999877
9,7,57,15.042899999999989
9,8,59,29.94789999999999
9,9,63,44.85289999999998
9,10,70,59.75789999999998
9,11,80,74.66289999999998
9,12,92,90.0
9,13,105,105.3372
9,14,119,120.2422
9,15,132,135.1472
9,16,146,150.0522
9,17,158,164.9572
9,18,169,179.86219999999997
9,19,86,90.0
9,20,79,90.0
9,21,69,90.0
9,22,57,90.0
9,23,43,90.0
10,0,180,90.0
10,1,180,90.0
10,2,180,90.0
10,3,180,90.0
10,4,169,90.0
10,5,152,90.0
10,6,136,90.0
10,7,56,14.210600000000014
10,8,58,29.10990000000001
10,9,63,44.00920000000002
10,10,70,58.908500000000004
10,11,79,73.80780000000001
10,12,92,90.0
10,13,106,106.1917
10,14,119,121.09100000000001
10,15,133,135.9903
10,16,147,150.8896
10,17,159,165.7889
10,18,90,90.0
10,19,86,90.0
10,20,79,90.0
10,21,69,90.0
10,22,57,90.0
10,23,43,90.0
11,0,180,90.0
11,1,180,90.0
11,2,180,90.0
11,3,180,90.0
11,4,169,90.0
11,5,152,90.0
11,6,136,90.0
11,7,55,13.507899999999992
11,8,57,28.389899999999997
11,9,62,43.27189999999999
11,10,69,58.15389999999999
11,11,78,73.0359
11,12,92,90.0
11,13,106,106.9632
11,14,120,121.84519999999998
11,15,134,136.72719999999998
11,16,147,151.6092
11,17,160,166.4912
11,18,90,90.0
11,19,86,90.0
11,20,79,90.0
11,21,69,90.0
11,22,57,90.0
11,23,43,90.0
12,0,180,90.0
12,1,180,90.0
12,2,180,90.0
12,3,180,90.0
12,4,169,90.0
12,5,152,90.0
12,6,136,90.0
12,7,55,13.169499999999985
12,8,57,28.039399999999986
12,9,62,42.90929999999997
12,10,69,57.779199999999975
12,11,78,72.64909999999998
12,12,92,90.0
12,13,107,107.351
12,14,120,122.2209
12,15,134,137.0908
12,16,148,151.9607
12,17,160,166.8306
12,18,90,90.0
12,19,86,90.0
12,20,79,90.0
12,21,69,90.0
12,22,57,90.0
12,23,43,90.0
